[INFO] Using Xenium bundle: /ictstr01/groups/ml01/projects/2025_xenium_mempel_lab_raphael.kfuri-rubens/MCA205/resegmentation_data/output-XETG00212__0023280__Region_1__20240917__175222_MCA205_d21_
2025-12-07 02:38:40 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS.INSITU_COUNTER_CS.SETUP_COUNTER_CS.fork0.join
2025-12-07 02:38:42 [runtime] (join_complete)   ID.RESEGMENT.XENIUM_RANGER_CS.INSITU_COUNTER_CS.SETUP_COUNTER_CS
2025-12-07 02:38:42 [runtime] (split_complete)  ID.RESEGMENT.XENIUM_RANGER_CS.INSITU_COUNTER_CS.METRIC_CALCULATOR_CS.GENERATE_MORPHOLOGY_PLOTS
2025-12-07 02:38:42 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS.INSITU_COUNTER_CS.METRIC_CALCULATOR_CS.GENERATE_MORPHOLOGY_PLOTS.fork0.join
2025-12-07 02:38:49 [runtime] (join_complete)   ID.RESEGMENT.XENIUM_RANGER_CS.INSITU_COUNTER_CS.METRIC_CALCULATOR_CS.GENERATE_MORPHOLOGY_PLOTS
2025-12-07 02:39:50 [runtime] (split_complete)  ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI
2025-12-07 02:39:51 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk000.main
2025-12-07 02:39:51 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk001.main
2025-12-07 02:39:51 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk002.main
2025-12-07 02:39:51 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk003.main
2025-12-07 02:39:51 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk004.main
2025-12-07 02:39:51 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk005.main
2025-12-07 02:39:51 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk006.main
2025-12-07 02:39:51 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk007.main
2025-12-07 02:39:51 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk008.main
2025-12-07 02:39:51 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk009.main
2025-12-07 02:39:51 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk010.main
2025-12-07 02:39:51 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk011.main
2025-12-07 02:39:51 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk012.main
